Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PyS.A,PyS.G,PyS.T,PyS.B,PyS.M,PyS.R,D.V,D.I,D.S,D.F,D.O,D.N,H.f,H.o
Taccocua_leschenaultii,17.445,7.475,11.665,158.75,41.18,179,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Tachymarptis_melba,6.515,5.035,3.345,201,14.365,98.7,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Tarsiger_chrysaeus,7.7,2.85,2.80625,66.125,29.15,13.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Tarsiger_hyperythrus,6.1,2.85,3,76.5,25.1,12,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Tarsiger_indicus,7.85,3,3.05,80,28.95,14.6,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Tarsiger_rufilatus,6.85,2.863636364,2.963636364,82.18181818,26,14.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Temenuchus_pagodarum,13.77,5.025,5.7,104.75,28.185,48.9,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Tephrodornis_gularis,16.125,6.98,7.4325,118.75,20.66,37.8,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Tephrodornis_pondicerianus,13.8875,6.52,6.3225,88.375,19.29,20.2,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Terpsiphone_paradisi,13.415,7.05,5.065,92.525,16.4925,19.25,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Tesia_castaneocoronata,6.375,2.715,2.275,50.45,22.02,8.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Tesia_cyaniventer,7.915,3.805,2.755,49.6,24.67,9.7,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Tesia_olivea,7.315,3.15,2.72,45.05,21.63,7,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Tichodroma_muraria,17.8,3.15,2.455,104.5,22.9,17.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Tickellia_hodgsoni,6.65,2.985,2.175,48,23.07,4.5,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Timalia_pileata,10.95,3.45,5.55,60.5,23.65,16,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Treron_apicauda,11.56666667,5.966666667,6.916666667,161,22.76666667,220,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Treron_bicinctus,11.44,5.53,5.865,158.8,23.39,174,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Treron_curvirostra,11.2,5.525,7.95,140.5,21.325,134.5,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Treron_phayrei,11.35,4.35,6.15,152.5,24.75,219,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Treron_phoenicopterus,13.7,7.21,7.9,196.75,27.925,235,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Treron_sphenurus,11.575,6,6.275,178,23.325,210,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Trochalopteron_affine,13.005,4.92,5.805,105,39.065,73,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Trochalopteron_erythrocephalum,13.91,4.785,5.825,103,40.23,71.7,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Trochalopteron_imbricatum,10.2,4.575,5.625,81,29.05,40.7,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Trochalopteron_lineatum,9.69,4.035,5.045,80.25,29.32,40.7,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Trochalopteron_squamatum,13.515,5.615,7.61,103,41.425,84,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Trochalopteron_subunicolor,9.885,4.5,6.145,94.75,37.14,66,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Trochalopteron_variegatum,12.87,4.97,6.23,104.25,39.195,64.5,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Troglodytes_troglodytes,8.255,2.235,2.315,50,19.66,9.325,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Turdoides_caudata,12.5,4.2,5.1,78,28.8,39.65,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Turdoides_earlei,16.2,4.35,6.1,92.5,34.1,47,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Turdoides_longirostris,14.55,3.7,5.05,76,30.2,35,0,0,0,1,0,0,0,1,0,0,0,0,0,1
